#word	Word1_mean Word1_std Word2_mean Word2_std Cpd_mean Cpd_std mean1*mean2
end-n user-n	3.866667 1.117537 4.866667 0.339935 4.250000 0.871165 18.817781
firing-n line-n	1.607143 1.654848 1.892857 1.496169 1.703704 1.717337 3.042092
game-n plan-n	2.821429 1.964935 4.862069 0.344828 3.827586 1.233693 13.717982
application-n form-n	4.766667 0.422953 4.862069 0.344828 4.800000 0.476095 23.175864
snail-n mail-n	0.600000 0.800000 4.586207 1.099129 1.310345 1.020596 2.751724
web-n site-n	2.678571 1.691440 3.933333 1.181336 3.785714 1.205853 10.535712
flea-n market-n	0.379310 0.805746 4.714286 0.839096 1.517241 1.133219 1.788176
grandfather-n clock-n	0.428571 0.775913 5.000000 0.000000 2.642857 1.315139 2.142855
diamond-n wedding-n	1.066667 1.289272 3.407407 1.340516 1.703704 1.047566 3.634569
guilt-n trip-n	4.714286 0.589015 0.862069 0.936764 2.185185 1.155888 4.064040
silver-n spoon-n	1.592593 1.472193 1.444444 1.770820 1.518519 1.449658 2.300411
rush-n hour-n	3.107143 1.371633 2.862069 1.357588 3.333333 1.273665 8.892858
china-n clay-n	2.000000 1.839732 4.620690 0.997023 3.851852 1.267944 9.241380
cocktail-n dress-n	1.400000 1.083205 5.000000 0.000000 3.038462 1.224141 7.000000
mailing-n list-n	4.666667 0.537484 4.933333 0.249444 4.666667 0.471405 23.022222
spelling-n bee-n	4.814815 0.771580 0.517241 1.037925 2.448276 1.248066 2.490420
public-n service-n	4.666667 0.649786 4.766667 0.615540 4.400000 0.757188 22.244448
head-n teacher-n	2.931034 1.507019 4.517241 1.070633 4.000000 1.164965 13.240187
video-n game-n	4.500000 0.718795 5.000000 0.000000 4.600000 0.611010 22.500000
spinning-n jenny-n	4.666667 0.544331 0.413793 0.766418 2.275862 1.079481 1.931034
think-n tank-n	3.961538 1.055417 0.466667 0.618241 2.038462 1.125945 1.848719
cash-n cow-n	4.222222 1.065740 0.370370 0.727662 1.555556 1.099944 1.563784
swan-n song-n	0.379310 0.611036 1.107143 1.144530 0.827586 0.912328 0.419950
monkey-n business-n	0.666667 1.011050 1.851852 1.296825 0.724138 0.689655 1.234569
snake-n oil-n	0.370370 0.554320 0.814815 1.248318 0.750000 1.122020 0.301783
smoking-n gun-n	0.714286 0.749149 1.000000 0.942809 0.714286 0.839096 0.714286
balance-n sheet-n	3.821429 0.888561 3.896552 0.959340 3.862069 1.007699 14.890397
zebra-n crossing-n	0.758621 0.624509 4.607143 0.859372 1.250000 1.022078 3.495075
cutting-n edge-n	0.884615 1.187335 1.730769 1.630424 1.250000 1.183970 1.531064
radio-n station-n	4.655172 0.956858 4.344828 0.799822 4.466667 0.718022 20.225922
search-n engine-n	4.620690 0.961816 2.250000 1.703463 3.320000 1.156547 10.396552
shrinking-n violet-n	2.275862 1.435908 0.233333 0.558768 1.068966 1.014754 0.531034
face-n value-n	1.392857 1.112888 4.642857 0.811273 3.037037 0.881139 6.466836
human-n being-n	4.862069 0.344828 4.333333 1.135292 4.586207 0.720021 21.068964
sacred-n cow-n	1.928571 1.645960 0.964286 1.721340 1.518519 1.524379 1.859694
number-n crunching-n	4.482759 0.771058 0.965517 1.129014 2.259259 1.003423 4.328180
silver-n screen-n	1.413793 1.565077 3.230769 1.449342 2.379310 1.627645 4.567639
melting-n pot-n	1.000000 1.154701 0.481481 0.630718 0.538462 0.634324 0.481481
